Symbol,industry
ATGL.NS,Utilities—Regulated Gas
IOC.NS,Oil & Gas Refining & Marketing
MCX.NS,Financial Data & Stock Exchanges
KANSAINER.NS,Specialty Chemicals
SONATSOFTW.NS,Information Technology Services
BIKAJI.NS,Packaged Foods
GMDCLTD.NS,Thermal Coal
DCMSRIND.NS,
EMAMIPAP.NS,Materials
HINDZINC.NS,Other Industrial Metals & Mining
TINPLATE.NS,Steel
CRAFTSMAN.NS,Auto Parts
MATRIMONY.NS,Internet Content & Information
VSTIND.NS,Tobacco
BDL.NS,Aerospace & Defense
CYBERTECH.NS,Information Technology Services
INGERRAND.NS,Specialty Industrial Machinery
SHANTI.NS,Farm Products
AMBICAAGAR.NS,Household & Personal Products
SULA.NS,
FOODSIN.NS,
NRAIL.NS,Paper & Paper Products
HGINFRA.NS,Engineering & Construction
PRAXIS.NS,Specialty Retail
ORISSAMINE.NS,Other Industrial Metals & Mining
SHRIRAMPPS.NS,Real Estate—Development
EASEMYTRIP.NS,Travel Services
IDEA.NS,Telecom Services
GOLDBEES.NS,
UNITECH.NS,Real Estate—Diversified
ROLEXRINGS.NS,Metal Fabrication
KICL.NS,Asset Management
SETFNN50.NS,
CLEAN.NS,Specialty Chemicals
MINDSPACE-RR.NS,
AGRITECH.NS,Farm Products
GINNIFILA.NS,Textile Manufacturing
UFLEX.NS,Packaging & Containers
MAWANASUG.NS,Confectioners
GRASIM.NS,Building Materials
BEML.NS,Conglomerates
GODFRYPHLP.NS,Tobacco
ADANIGREEN.NS,Utilities—Renewable
ASHOKLEY.NS,Farm & Heavy Construction Machinery
CESC.NS,Utilities—Independent Power Producers
BODALCHEM.NS,Specialty Chemicals
VEDL.NS,Other Industrial Metals & Mining
MON100.NS,
OLECTRA.NS,Auto Parts
AXISBANK.NS,Banks—Regional
COCHINSHIP.NS,Aerospace & Defense
SHIVATEX.NS,Textile Manufacturing
DIVISLAB.NS,Drug Manufacturers—Specialty & Generic
TATACOMM.NS,Telecom Services
BAJFINANCE.NS,Credit Services
OIL.NS,Oil & Gas E&P
MMTC.NS,Conglomerates
ENGINERSIN.NS,Engineering & Construction
5PAISA.NS,Capital Markets
HINDPETRO.NS,Oil & Gas Refining & Marketing
CASTROLIND.NS,Oil & Gas Refining & Marketing
SONACOMS.NS,Auto Parts
TFCILTD.NS,Credit Services
RICOAUTO.NS,Auto Parts
IBULHSGFIN.NS,Mortgage Finance
HAPPSTMNDS.NS,Information Technology Services
RAMCOCEM.NS,Building Materials
BHARATGEAR.NS,Auto Parts
KIRLOSIND.NS,Metal Fabrication
GRAPHITE.NS,Electrical Equipment & Parts
RANASUG.NS,Confectioners
UTIAMC.NS,Asset Management
PERSISTENT.NS,Information Technology Services
CUMMINSIND.NS,Specialty Industrial Machinery
BANKA.NS,Pollution & Treatment Controls
MANAPPURAM.NS,Credit Services
SHANTIGEAR.NS,Specialty Industrial Machinery
ZOMATO.NS,Internet Retail
M&MFIN.NS,Credit Services
AARTIDRUGS.NS,Drug Manufacturers—Specialty & Generic
ALEMBICLTD.NS,Drug Manufacturers—Specialty & Generic
LLOYDSENGG.NS,Specialty Industrial Machinery
HINDOILEXP.NS,Oil & Gas E&P
TATAMOTORS.NS,Auto Manufacturers
PTCIL.NS,Metals & Mining
STOVEKRAFT.NS,Furnishings, Fixtures & Appliances
PRINCEPIPE.NS,Specialty Chemicals
SURYODAY.NS,Banks—Regional
RAJMET.NS,Other Industrial Metals & Mining
